FD,SCI,CO,PPI_SUM,BF_Ex,BF_Ag,BF_Co,BF_Em,BF_Op,Gender_male,MonthsInJob,Age
1.7971898,0.7101383,0.27752733,-0.6826452,0.38750872,-0.0874164,0.8358592,-0.08157529,0.31390676,0.08962639,-0.117169395,1.359495
0.4086457,0.002320993,-0.29969296,0.022070546,0.73570997,-0.32029676,-0.3018468,0.0961373,0.32569683,-0.039258596,-0.11062779,-0.18486047
-1.2060457,0.5443933,-0.31214392,1.0739378,-0.37043265,-0.17529039,-0.6502408,-0.05979597,0.39754543,-0.04875732,0.12919825,-0.959786
-0.96785384,-0.18548466,-0.43817082,0.46227247,-0.18122287,-0.046663433,0.0988814,-0.0023467443,0.118830256,-0.044823755,0.8119492,1.0033432
-1.2389977,-0.3585133,0.87566215,0.5149985,-0.03649483,0.24691877,0.18860275,-0.41612217,0.064272985,-0.011507675,0.39785206,-1.130357
-0.18268946,0.7967211,-0.2713959,1.2290266,-0.3100418,-0.16960418,1.0943698,-0.016525585,0.21390848,-0.013248004,0.021635482,1.3884264
-1.4398265,0.2635951,-0.47511822,-0.8415004,-1.1159782,-0.09304544,0.052658703,0.7238264,0.24566077,-0.013222123,1.4927512,-0.12450989
-1.281694,0.3328792,-0.21263702,0.65837145,0.08520431,-0.19077702,0.7248784,0.9017557,0.5692391,-0.057455998,1.736466,1.192007
-0.18046615,0.8578082,0.7737347,0.891215,-0.5230892,0.31345627,0.9433902,0.21001716,0.24274722,-0.029966323,-0.44161633,-0.8143682
-0.14908965,-0.08755827,-0.3713216,-1.5132802,-0.13764851,-0.2612314,-0.552303,-0.1004607,0.31301478,-0.067298874,-0.102101095,-0.6635116
-1.2498469,0.64732856,-1.45436,-1.9995867,-0.773595,-0.6151037,-0.743592,-0.10169627,-0.014795395,-0.06490346,-0.84945863,-1.0815657
0.537034,-0.74365187,-0.012103328,0.55295515,1.0152067,0.24449259,0.76004255,0.10181282,-0.79484886,-0.055506375,-0.22884806,0.23630573
0.672927,0.24220102,-0.18385655,0.3530943,0.19754654,-0.2854221,-0.47109228,0.20846605,0.3261952,-0.10933903,0.39938158,-0.94341767
0.3410347,0.63832045,-0.09017422,-0.97538227,-1.490526,-0.3089087,0.49556112,-0.04672201,0.10959948,-0.05231966,-0.4644479,1.2302488
-0.39911762,-1.3922197,-0.3049435,-1.099401,0.11187597,-0.23242025,-0.6105608,-0.21573466,0.35402298,-0.14331728,-0.24548312,-0.35031214
-0.6225943,0.68990177,1.0156463,0.9467432,-0.23048486,-0.25053757,1.1149893,-0.10367822,0.27482143,-0.008231515,0.507496,1.3154086
-3.0577438,0.343709,-0.14521207,0.88252574,-0.7781561,0.21361609,-0.787505,0.09965444,0.011709239,-0.12668383,-1.0890845,1.0347531
1.6869625,0.6467456,-0.035550572,0.35214296,1.7186557,0.27069393,0.9395125,0.0067804046,-0.7122041,-0.069631815,1.2568076,0.6687755
-0.096475855,-0.7598195,0.48026386,-0.14907105,0.12547226,0.20478126,1.6457002,-0.32776186,0.30046588,-0.37834635,0.28095412,1.5269743
-0.3757623,-0.60587573,-0.029158188,0.39997923,-0.048766874,-0.82760364,-0.3883596,-0.04653851,0.23416471,-0.0639422,0.5819105,-0.5840485
-0.77097964,0.92310745,-0.24231271,1.1630293,-0.36557958,-0.24553077,1.1283243,-0.011643115,0.33535725,-0.040044073,1.4235835,1.6535512
-0.7588714,0.8966414,0.28578788,-0.6900875,-0.49363744,0.67244065,1.0259862,0.0091808075,0.3982152,-0.0049436195,0.48507637,0.12427253
-1.2668616,-1.4388944,0.14451155,0.48742306,-1.5257976,-0.19202256,-0.66132116,-0.076410785,0.14743987,-0.0998737,-1.7498311,-0.6590918
0.21937981,0.98475283,1.701049,0.86041903,0.145233,0.20070891,-0.23422939,0.0739728,0.20980498,0.013105508,1.8245424,-0.3159357
-0.83588237,0.5939252,-1.2352219,-2.4447215,-0.6267475,0.5801557,-0.7080869,-0.2866592,0.17149511,-0.089926995,-0.42342728,0.8221681
-1.4152428,0.45138186,-1.6283749,-2.0270016,-0.6402864,0.15078591,-0.19552793,0.01910127,0.22523823,-0.075406626,-0.90572,-1.2802202
1.8001364,-0.65821946,-0.023332626,-0.8118311,0.21141557,-0.2923917,-0.43460727,0.15845805,0.29138306,-0.04532983,0.43000528,-0.4293507
0.2909485,0.03627648,-0.27524465,-0.8466191,-0.012908771,-0.26072854,-0.44287214,-0.42508572,0.27258226,-0.0075979508,-0.5379078,-0.5651205
0.14661326,-1.3997632,-0.4101765,-0.27174273,-0.25239417,0.46578297,-0.61325955,-0.19888642,-2.3296077,-0.30701393,-0.76028126,1.2070419
