FD,SCI,CO,PPI_SUM,BF_Ex,BF_Ag,BF_Co,BF_Em,BF_Op,Gender_male,MonthsInJob,Age
-0.018989723,0.1802211,0.26097858,0.016917024,-1.1653738,-0.087639675,0.10526607,-0.02077977,0.0888313,-0.29151535,-0.17046197,0.6208897
-0.17591202,-0.107889846,-0.28482163,0.24423604,0.93377155,0.15140334,0.13049828,-0.24676313,0.11536168,-0.21305515,-0.11267589,1.079459
-0.2550876,-0.18018259,0.017315203,0.123141915,0.7053656,-0.9664556,-0.047728963,-0.26621208,0.065992385,-0.25526685,-0.22596076,0.40179372
-0.16554777,-0.1902622,0.117896795,0.2800098,-0.46603155,-0.06931507,0.12300388,-0.20519367,0.08161814,-0.14539479,-0.2048018,-1.1296114
0.35142347,-0.0806199,0.33689746,0.15458281,1.3068075,-0.014722107,0.19870135,-0.21066077,-0.12713723,-0.15523632,1.249302,1.4096103
0.5340969,-0.045512732,-0.24335428,0.6353697,1.7803898,-0.47280902,0.19475299,0.81222767,0.031759035,-0.108857945,1.1019523,1.8289909
-0.1462185,-0.03728347,-0.044713527,-0.02953263,1.4801741,0.0024610977,0.22519764,0.08495487,0.14843298,-0.39913517,-0.28812408,1.3013248
-0.10363056,-0.050363064,0.11130448,0.14962207,0.8564616,-0.055841416,0.08634634,-0.18010624,-0.25993472,-0.17891769,-0.40725803,-0.87073106
0.06549647,0.121179424,-0.7400278,-0.12884009,-0.58312476,0.146034,0.21074879,-0.40866742,0.08242489,-0.29654834,0.60065544,-0.54107314
0.061062858,-0.39786878,0.010977594,0.4158663,0.33323547,0.15933177,0.152936,-0.5204992,0.16103129,-0.2545062,-0.15229203,-0.9999661
0.123546086,0.07711193,0.530198,0.22839628,0.7282621,-0.07606878,-0.116931155,-0.20835698,-0.235777,-0.2335966,-0.022150228,-0.5829853
-0.084255695,0.071461536,0.13011265,0.20309223,-0.14727415,-0.047468074,-0.09407865,0.12296153,0.18294251,-0.21780328,-0.6231055,-0.46882948
-0.0123224715,0.15026629,-0.21617036,-0.75938916,-0.7032916,0.27703488,0.0657529,0.037252832,0.12527356,-0.23840617,-0.017025994,-0.48566386
-0.33056444,-0.056714687,0.20016336,0.43185604,-0.3562455,-0.105249465,0.14045522,-0.3945472,0.19109711,-0.22635432,-0.17203845,-1.0320617
0.09097794,0.0040335385,-0.22481921,-0.7556591,0.89005244,-0.06561144,-0.15074429,-0.02205626,-0.3171027,-0.20859586,-0.13256517,1.1207848
-0.22577453,-0.057675082,0.30897588,0.21483809,-0.93698806,-0.26774412,-0.4511831,0.37610492,0.06461104,-0.18288587,0.46829376,0.9204566
2.5447242,0.13772167,1.1406765,-0.99652135,-0.3436144,-0.04508364,0.009134736,-0.050361067,0.17184237,-0.2554423,0.0006694074,-0.0027053421
0.1706067,0.31371582,0.29313937,-0.7462647,0.74150157,-0.17917888,0.043308944,0.057938922,0.14872096,-0.1981389,1.2256867,1.6638622
-0.0892076,0.065687,-0.33832127,0.05146115,-0.92347085,0.5506649,-0.17180397,-0.14851792,0.080778904,-0.2863805,-0.14646319,0.95755446
-0.05220543,-0.051341254,0.26386,0.41460097,0.7896027,0.045087975,-0.03959071,0.15673555,0.2734222,-0.24634556,0.16597316,-0.78033185
0.03634392,-0.04639474,0.36935508,0.12713301,1.4225134,-0.1732037,0.097671635,0.105962515,0.03299032,-0.19109917,1.4329448,1.6823908
-0.61169934,0.080679685,-0.22414364,0.045721695,-1.0628636,0.11700056,-0.016876748,-0.29477045,0.05993856,-0.36425027,-0.2967141,0.9214244
